id,pdbid,NAKBnaList,NAKBprotList,NAKBligList
1AGL,1AGL,"B-form double helix,double helix,structure",,"bis-intercalating,minor groove binding"
1AHD,1AHD,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1AIO,1AIO,"DNA dodecamer,double helix,feature,structure",,metal coordinating ligand
1AIS,1AIS,"double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,regulatory,transcription",
1AKH,1AKH,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1AL9,1AL9,"B-form double helix,double helix,structure",,"bis-intercalating,minor groove binding"
1AM0,1AM0,"aptamer,function",,nucleotide like
1AM9,1AM9,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),basic transcription factor,helix-loop-helix (bHLH),regulatory,transcription",
1AMD,1AMD,"double helix,structure",,"bis-intercalating,minor groove binding"
1AN2,1AN2,"double helix,structure","DNA-binding transcription factor (TF),basic transcription factor,helix-loop-helix (bHLH),regulatory,transcription",
1AN4,1AN4,"double helix,structure","DNA-binding transcription factor (TF),basic transcription factor,helix-loop-helix (bHLH),regulatory,transcription",
1AO1,1AO1,"double helix,structure",,"intercalating,major groove binding,minor groove binding"
1AOI,1AOI,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
1APL,1APL,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1ASY,1ASY,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1ASZ,1ASZ,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1AU5,1AU5,"double helix,structure",,metal coordinating ligand
1AU6,1AU6,"structure,triple helix",,"metal coordinating ligand,minor groove binding"
1AU7,1AU7,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1AW4,1AW4,"aptamer,function",,nucleotide like
1AWC,1AWC,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1AXL,1AXL,"double helix,structure",,"covalently linked ligand,intercalating,minor groove binding"
1AXO,1AXO,"double helix,structure",,"covalently linked ligand,intercalating,minor groove binding"
1AXV,1AXV,"double helix,structure",,"covalently linked ligand,intercalating,major groove binding"
1AZ0,1AZ0,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1AZP,1AZP,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
1AZQ,1AZQ,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
1B0S,1B0S,"B-form double helix,double helix,structure",,minor groove binding
1B23,1B23,"function,protein synthesis,transfer RNA","regulatory,translation",
1B3T,1B3T,"B-form double helix,double helix,structure","regulatory,transcription",
1B69,1B69,"double helix,structure","enzyme,recombinase",
1B72,1B72,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1B8I,1B8I,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1B94,1B94,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1B95,1B95,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1B96,1B96,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1B97,1B97,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1BBX,1BBX,"double helix,structure","chromatin,nucleosome,structural",
1BC7,1BC7,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1BC8,1BC8,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1BDH,1BDH,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),lambda repressor-like,regulatory,transcription",
1BDI,1BDI,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),lambda repressor-like,regulatory,transcription",
1BDT,1BDT,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),MetR homology,other &alpha;-helix,regulatory,transcription",
1BDV,1BDV,"double helix,structure","DNA-binding transcription factor (TF),MetR homology,other &alpha;-helix,regulatory,transcription",
1BF4,1BF4,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
1BF5,1BF5,"double helix,structure","DNA-binding transcription factor (TF),STAT,immunoglobulin (Ig) fold,regulatory,transcription",
1BG1,1BG1,"B-form double helix,C-C mispair,C-T mispair,G-T mispair,double helix,feature,mispair,structure","DNA-binding transcription factor (TF),STAT,immunoglobulin (Ig) fold,regulatory,transcription",
1BGB,1BGB,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1BHM,1BHM,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1BIV,1BIV,"activation response element,function,trans-acting transcriptional regulator,transcription regulating","ribonucleoprotein,structural",
1BL0,1BL0,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1BNK,1BNK,"B-form double helix,double helix,structure","enzyme,hydrolase",
1BNZ,1BNZ,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
1BP7,1BP7,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1BP8,1BP8,"double helix,structure",,minor groove binding
1BPS,1BPS,"A-G mispair,double helix,feature,mispair,structure",,"covalently linked ligand,intercalating,major groove binding"
1BSS,1BSS,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1BSU,1BSU,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1BUA,1BUA,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1BY4,1BY4,"double helix,structure","DNA-binding transcription factor (TF),Zinc-coordinating,nuclear receptor ZnC4,regulatory,transcription",
1C04,1C04,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
1C0A,1C0A,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1C0W,1C0W,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1C2W,1C2W,"function,protein synthesis,ribosomal RNA",,
1C2X,1C2X,"function,protein synthesis,ribosomal RNA",,
1C7U,1C7U,"double helix,structure","DNA-binding transcription factor (TF),MADS box,other &alpha;-helix,regulatory,transcription",
1C8C,1C8C,"G-T mispair,double helix,feature,mispair,structure","chromatin,nucleosome,structural",
1C95,1C95,"double helix,structure",,"covalently linked ligand,end stacking"
1C9B,1C9B,"double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,enzyme,regulatory,transcription,transferase",
1C9S,1C9S,"antitermination element,function,transcription regulating","RNA-binding transcription factor,regulatory,transcription",
1C9Z,1C9Z,"B-form double helix,double helix,structure",,"bis-intercalating,major groove binding"
1CA5,1CA5,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
1CA6,1CA6,"G-T mispair,double helix,feature,mispair,structure","chromatin,nucleosome,structural",
1CDW,1CDW,"B-form double helix,double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,regulatory,transcription",
1CF7,1CF7,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription,winged helix/forkhead",
1CGP,1CGP,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1CIT,1CIT,"double helix,structure","DNA-binding transcription factor (TF),Zinc-coordinating,nuclear receptor ZnC4,regulatory,transcription",
1CJG,1CJG,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),lambda repressor-like,regulatory,transcription",
1CKQ,1CKQ,"double helix,structure","enzyme,hydrolase,nuclease",
1CL8,1CL8,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1CO0,1CO0,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,trp repressor",
1CP8,1CP8,"double helix,structure",,minor groove binding
1CQT,1CQT,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1CR3,1CR3,"B-form double helix,double helix,structure",,"covalently linked ligand,intercalating,major groove binding"
1CVX,1CVX,"B-form double helix,double helix,structure",,minor groove binding
1CVY,1CVY,"B-form double helix,double helix,structure",,minor groove binding
1CW0,1CW0,"B-form double helix,G-T mispair,double helix,feature,mispair,structure","enzyme,hydrolase,nuclease",
1CX3,1CX3,"double helix,structure",,"bis-intercalating,major groove binding"
1CYQ,1CYQ,"double helix,structure","enzyme,hydrolase,nuclease",
1CYZ,1CYZ,"G-T mispair,double helix,feature,mispair,structure",,minor groove binding
1CZ0,1CZ0,"double helix,structure","enzyme,hydrolase,nuclease",
1D02,1D02,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1D10,1D10,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D11,1D11,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D12,1D12,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D14,1D14,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D15,1D15,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D17,1D17,"B-form double helix,double helix,structure",,"intercalating,major groove binding,minor groove binding"
1D1U,1D1U,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
1D21,1D21,"B-form double helix,double helix,structure",,"intercalating,major groove binding,minor groove binding"
1D22,1D22,"B-form double helix,double helix,structure",,"intercalating,major groove binding,minor groove binding"
1D2I,1D2I,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1D30,1D30,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1D32,1D32,"double helix,structure",,"bis-intercalating,major groove binding"
1D33,1D33,"B-form double helix,double helix,structure",,"covalently linked ligand,intercalating,minor groove binding"
1D35,1D35,"B-form double helix,double helix,structure",,"covalently linked ligand,intercalating,minor groove binding"
1D36,1D36,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D37,1D37,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D38,1D38,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D3U,1D3U,"B-form double helix,double helix,structure","&beta;-sheet,DNA-binding transcription factor (TF),TATA binding protein,regulatory,transcription",
1D43,1D43,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1D44,1D44,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1D45,1D45,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1D46,1D46,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1D54,1D54,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D58,1D58,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D5Y,1D5Y,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1D63,1D63,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1D64,1D64,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1D66,1D66,"double helix,structure","DNA-binding transcription factor (TF),Zinc-coordinating,regulatory,transcription",
1D67,1D67,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1D6K,1D6K,"A-form double helix,double helix,function,protein synthesis,ribosomal RNA,structure","ribonucleoprotein,ribosome,structural",
1D83,1D83,"double helix,structure",,minor groove binding
1D85,1D85,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1D86,1D86,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1DA0,1DA0,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1DA4,1DA4,"double helix,structure",,metal coordinating ligand
1DA5,1DA5,"double helix,structure",,metal coordinating ligand
1DA9,1DA9,"B-form double helix,double helix,structure",,"intercalating,minor groove binding"
1DC1,1DC1,"double helix,structure","enzyme,hydrolase,nuclease",
1DCT,1DCT,"B-form double helix,double helix,structure","enzyme,methylase,transferase",
1DDN,1DDN,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1DDP,1DDP,"double helix,structure",,metal coordinating ligand
1DE8,1DE8,"B-form double helix,double helix,structure","enzyme,hydrolase,lyase,nuclease",
1DE9,1DE9,"A-A mispair,C-T mispair,G-G mispair,G-T mispair,feature,mispair,structure","enzyme,hydrolase,lyase,nuclease",
1DEW,1DEW,"B-form double helix,double helix,structure","enzyme,hydrolase,lyase,nuclease",
1DFM,1DFM,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1DFU,1DFU,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
1DGC,1DGC,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),basic transcription factor,leucine zipper (bZIP),regulatory,transcription",
1DH3,1DH3,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),basic transcription factor,leucine zipper (bZIP),regulatory,transcription",
1DI2,1DI2,"A-form double helix,double helix,structure","ribonucleoprotein,structural",
1DIZ,1DIZ,"B-form double helix,double helix,structure","enzyme,hydrolase",
1DJD,1DJD,"B-form double helix,double helix,structure",,"covalently linked ligand,intercalating,major groove binding"
1DK1,1DK1,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
1DL4,1DL4,"double helix,structure",,"covalently linked ligand,intercalating,major groove binding"
1DL8,1DL8,"B-form double helix,double helix,structure",,"intercalating,major groove binding"
1DMU,1DMU,"A-A mispair,B-form double helix,double helix,feature,mispair,structure","enzyme,hydrolase,nuclease",
1DNE,1DNE,"B-form double helix,double helix,structure",,minor groove binding
1DNH,1DNH,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1DNK,1DNK,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1DP7,1DP7,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1DRZ,1DRZ,"Hepatitis delta virus ribozyme,catalytic,function","ribonucleoprotein,spliceosome,structural",
1DSA,1DSA,"B-form double helix,double helix,structure",,"covalently linked ligand,minor groove binding"
1DSC,1DSC,"double helix,structure",,"intercalating,minor groove binding"
1DSD,1DSD,"T-T mispair,double helix,feature,mispair,structure",,"intercalating,minor groove binding"
1DSI,1DSI,"B-form double helix,double helix,structure",,"covalently linked ligand,minor groove binding"
1DSM,1DSM,"B-form double helix,double helix,structure",,"covalently linked ligand,minor groove binding"
1DSZ,1DSZ,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc-coordinating,nuclear receptor ZnC4,regulatory,transcription",
1DU0,1DU0,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
1DUL,1DUL,"SRP RNA,function,translation regulating","ribonucleoprotein,signal recognition particle (SRP),structural",
1DVL,1DVL,"B-form double helix,double helix,structure",,minor groove binding
1DXA,1DXA,"A-G mispair,B-form double helix,double helix,feature,mispair,structure",,"covalently linked ligand,intercalating,major groove binding"
1E3M,1E3M,"B-form double helix,G-T mispair,double helix,feature,mispair,structure","DNA replication/repair,regulatory",
1E8O,1E8O,"SRP RNA,function,translation regulating","ribonucleoprotein,signal recognition particle (SRP),structural",
1EA4,1EA4,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),MetR homology,other &alpha;-helix,regulatory,transcription",
1EBM,1EBM,"B-form double helix,double helix,structure","enzyme,hydrolase",
1ECR,1ECR,"double helix,structure","DNA replication/repair,regulatory",
1EEL,1EEL,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
1EFA,1EFA,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),lambda repressor-like,regulatory,transcription",
1EFW,1EFW,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1EG0,1EG0,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
1EG6,1EG6,"B-form double helix,double helix,structure",,"end stacking,intercalating,major groove binding"
1EGW,1EGW,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),MADS box,other &alpha;-helix,regulatory,transcription",
1EIY,1EIY,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1EJ9,1EJ9,"B-form double helix,double helix,structure","enzyme,isomerase",
1EKH,1EKH,"double helix,structure",,minor groove binding
1EKI,1EKI,"double helix,structure",,minor groove binding
1EKZ,1EKZ,"double helix,structure","ribonucleoprotein,structural",
1EM0,1EM0,"B-form double helix,double helix,structure",,end stacking
1EMH,1EMH,"double helix,structure","enzyme,hydrolase",
1EMI,1EMI,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
1EMJ,1EMJ,"B-form double helix,double helix,structure","enzyme,hydrolase",
1EO3,1EO3,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1EO4,1EO4,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1EON,1EON,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1EOO,1EOO,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1EOP,1EOP,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1EQZ,1EQZ,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
1ERI,1ERI,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1ESG,1ESG,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
1ETF,1ETF,"antitermination element,double helix,function,structure,transcription regulating","regulatory,transcription",
1ETG,1ETG,"antitermination element,double helix,function,structure,transcription regulating","regulatory,transcription",
1EUQ,1EUQ,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1EUY,1EUY,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1EVW,1EVW,"double helix,structure","enzyme,hydrolase,nuclease",
1EWN,1EWN,"B-form double helix,double helix,structure","enzyme,hydrolase",
1EXD,1EXD,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1EXI,1EXI,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1EXJ,1EXJ,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1EXY,1EXY,"structure,triple helix","ribonucleoprotein,structural",
1EYU,1EYU,"double helix,structure","enzyme,hydrolase,nuclease",
1F0O,1F0O,"double helix,structure","enzyme,hydrolase,nuclease",
1F4K,1F4K,"B-form double helix,double helix,structure","DNA replication/repair,regulatory",
1F4R,1F4R,"B-form double helix,double helix,structure","enzyme,hydrolase",
1F4S,1F4S,"double helix,structure","regulatory,transcription",
1F5E,1F5E,"double helix,structure","regulatory,transcription",
1F5T,1F5T,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
1F66,1F66,"B-form double helix,double helix,structure","chromatin,nucleosome,structural",
1F6O,1F6O,"B-form double helix,double helix,structure","enzyme,hydrolase",
1F7U,1F7U,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1F7V,1F7V,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1F7Y,1F7Y,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
1FCW,1FCW,"function,protein synthesis,transfer RNA",,
1FD5,1FD5,"B-form double helix,double helix,structure",,"end stacking,intercalating"
1FDG,1FDG,"B-form double helix,double helix,structure",,"end stacking,intercalating"
1FEU,1FEU,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
1FFK,1FFK,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
1FFY,1FFY,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
1FFZ,1FFZ,"function,protein synthesis,ribosomal RNA",,
1FG0,1FG0,"function,protein synthesis,ribosomal RNA",,
1FHY,1FHY,"Holliday junction,structure",,"covalently linked ligand,intercalating"
